province,fire_cause,fire_type,response_type,protection_zone,fn_indicator,dist_to_fn_km,n_fn_20km,any_evacuation,log_fire_size_ha
NT,natural,unknown,monitor,monitor,False,214.57696767808483,0,False,1.20035771154052
NT,natural,unknown,moderate,moderate,False,103.62499417380688,0,False,-0.3480294034506625
NT,natural,unknown,moderate,moderate,False,130.53555626290117,0,False,-0.0511957277818771
NT,natural,unknown,monitor,monitor,False,158.5135123199438,0,False,-0.3124282646030428
NT,natural,unknown,monitor,monitor,False,124.30221168866132,0,False,-1.1332553281131508
NT,natural,unknown,other,other,False,124.08563803831136,0,False,-0.6260970473366697
NT,natural,unknown,monitor,monitor,False,213.66449788090043,0,False,-1.1976662145196273
NT,natural,unknown,monitor,monitor,False,84.14928295287864,0,False,-0.958571200587605
NT,natural,unknown,monitor,monitor,False,126.88826336385704,0,False,-0.7855089144719057
NT,natural,unknown,other,other,False,57.63023936369555,0,False,-0.3256971875398498
NT,natural,unknown,other,other,False,25.270346321854017,0,False,-0.1355391870067971
NT,natural,unknown,other,other,False,21.009150399772285,0,False,-1.3627700895731674
NT,natural,unknown,other,other,False,51.23135981969047,0,False,0.1499784661595094
NT,natural,unknown,monitor,monitor,False,34.56050903767957,0,False,2.4933219065283327
NT,natural,unknown,moderate,moderate,False,7.06556459424528,2,False,1.478262412017526
NT,natural,unknown,monitor,monitor,False,40.47830252715028,0,False,0.2627709678855531
NT,natural,unknown,monitor,monitor,False,34.42662228717085,0,False,0.4107398048664135
NT,natural,unknown,monitor,monitor,False,79.5604973922915,0,False,-0.1364330942349895
NT,natural,unknown,other,other,False,9.199576441547505,1,False,-1.2480562354008746
NT,natural,unknown,monitor,monitor,False,67.92711016632805,0,False,-0.3480294034506625
NT,natural,unknown,moderate,moderate,False,65.01654583014319,0,False,2.1365010541532024
NT,natural,unknown,moderate,moderate,False,25.67311147538746,0,False,1.60448836201947
NT,natural,unknown,monitor,monitor,False,37.785627026153286,0,False,0.2307423689035338
NT,natural,unknown,other,other,False,6.84473708979565,1,False,0.5961358304427166
NT,natural,unknown,monitor,monitor,False,33.467203900002396,0,False,-1.276157186055568
NT,natural,unknown,monitor,monitor,False,26.154119338263207,0,False,-1.1075408656381058
NT,natural,unknown,other,other,False,89.5484739938993,0,False,-0.6704810478107414
NT,natural,unknown,monitor,monitor,False,107.52459035372098,0,False,1.272589426051819
NT,natural,unknown,monitor,monitor,False,33.957347797710824,0,False,-0.6875359786523267
NT,natural,unknown,monitor,monitor,False,34.90684430184283,0,False,-0.6834435668502601
NT,natural,unknown,monitor,monitor,False,15.32549649890776,1,False,-1.3627700895731674
NT,natural,unknown,monitor,monitor,False,33.907629147756076,0,False,-0.4145534187955601
NT,natural,unknown,moderate,moderate,False,40.68804529739831,0,False,0.7542944720120152
NT,natural,unknown,monitor,monitor,False,55.203154801661704,0,False,-0.3480294034506625
NT,natural,unknown,monitor,monitor,False,59.84490195958352,0,False,0.941019918597169
NT,natural,unknown,monitor,monitor,False,99.89006739676448,0,False,0.2307423689035338
NT,natural,unknown,moderate,moderate,False,26.875387052580898,0,False,0.3117529845361346
NT,natural,unknown,monitor,monitor,False,25.533197672844057,0,False,0.1163628755155759
NT,natural,unknown,monitor,monitor,False,32.33942134109228,0,False,-0.4145534187955601
NT,natural,unknown,other,other,False,82.12768155352212,0,False,1.5209259877217818
NT,natural,unknown,monitor,monitor,False,32.61945308328022,0,False,-0.0696221031488375
NT,natural,unknown,other,other,False,38.63754262208905,0,False,-0.7430630144784034
NT,natural,unknown,monitor,monitor,False,10.067773670486911,1,False,1.1924602861396958
NT,natural,unknown,moderate,moderate,False,20.761258020287165,0,False,1.288527380574805
NT,natural,unknown,monitor,monitor,False,70.95560657341295,0,False,0.8853264915688814
NT,natural,unknown,monitor,monitor,False,96.86829172573704,0,False,-0.1982155139692754
NT,natural,unknown,monitor,monitor,False,47.97285075440467,0,False,1.5447266526162065
NT,natural,unknown,monitor,monitor,False,86.78909288719312,0,False,-0.3779490237874252
NT,natural,unknown,monitor,monitor,False,112.80127594563707,0,False,0.6696851672937626
NT,natural,unknown,monitor,monitor,False,40.14597241171424,0,False,-0.866006287285074
NT,natural,unknown,monitor,monitor,False,62.63614614999973,0,False,0.4810110671648807
NT,natural,unknown,monitor,monitor,False,67.19429188730572,0,False,0.5602917550782976
NT,natural,unknown,monitor,monitor,False,39.09612615128304,0,False,0.6630287776876428
NT,natural,unknown,monitor,monitor,False,36.94602488813399,0,False,0.32821095372684
NT,natural,unknown,monitor,monitor,False,78.08906929121639,0,False,0.613737099888216
NT,natural,unknown,monitor,monitor,False,30.856347653308685,0,False,-0.0768743185909178
NT,natural,unknown,moderate,moderate,False,9.562515187222244,1,False,1.919692442714111
NT,natural,unknown,moderate,moderate,False,41.89514158425329,0,False,2.5212565016561688
NT,natural,unknown,monitor,monitor,False,7.674503498032947,1,False,0.4994792893932755
NT,natural,unknown,monitor,monitor,False,16.011897478484467,1,False,0.253131653263596
NT,natural,unknown,monitor,monitor,False,16.165460106175964,1,False,-0.6776838780774322
NT,natural,unknown,monitor,monitor,False,27.907731063041968,0,False,0.0124714080497868
NT,natural,unknown,monitor,monitor,False,91.5650202229136,0,False,0.0985703427667021
NT,natural,unknown,other,other,False,14.90227989659554,1,False,-0.6151341716642769
NT,natural,unknown,moderate,moderate,False,96.67086282354644,0,False,-0.8519629227695937
NT,natural,unknown,moderate,moderate,False,1.117708335192008,1,False,-0.028322001119281
NT,natural,unknown,other,other,False,3.3496317165455056,1,False,0.0846911605086462
NT,natural,unknown,monitor,monitor,False,54.26473695885267,0,False,-0.2878450540058623
NT,natural,unknown,monitor,monitor,False,33.77939250692228,0,False,-1.010408435295077
NT,natural,unknown,monitor,monitor,False,6.272255830155299,1,False,1.0704257073190016
NT,natural,unknown,monitor,monitor,False,20.61765008655674,0,False,0.0861541894495103
NT,natural,unknown,monitor,monitor,False,20.243857119311297,0,False,-0.1319357731294905
NT,natural,unknown,moderate,moderate,False,12.302749090131428,1,False,0.9848328956565928
NT,natural,unknown,monitor,monitor,False,22.547090375045325,0,False,0.4611414788657188
NT,natural,unknown,monitor,monitor,False,27.99761912083442,0,False,0.6626307549885813
NT,natural,unknown,monitor,monitor,False,20.35747162373529,0,False,-0.9122046774208477
NT,natural,unknown,monitor,monitor,False,46.72658486780437,0,False,0.538680760213047
NT,natural,unknown,monitor,monitor,False,81.03344108685413,0,False,1.0699442204080978
NT,natural,unknown,moderate,moderate,False,95.01379387572238,0,False,-1.1075408656381058
NT,natural,unknown,monitor,monitor,False,13.202350713485314,1,False,0.7584576697283386
NT,natural,unknown,other,other,False,26.81507371988004,0,False,-0.0268007969548535
NT,natural,unknown,monitor,monitor,False,17.23893499099786,1,False,0.3023458225614861
NT,natural,unknown,other,other,False,8.610054095320741,1,False,-1.3484373305434796
NT,natural,unknown,moderate,moderate,False,118.39985893948432,0,False,0.5986260414996286
NT,natural,unknown,other,other,False,28.1606719332793,0,False,-1.2480562354008746
NT,natural,unknown,other,other,False,52.74357234711994,0,False,-0.3160195244077876
NT,natural,unknown,other,other,True,0.0,1,False,-1.3627700895731674
NT,natural,unknown,other,other,False,12.506280714568838,1,False,-0.948695061759646
NT,natural,unknown,other,other,False,21.49746737603665,0,False,-1.302814270246955
NT,natural,unknown,monitor,monitor,False,101.81769473998077,0,False,0.0036032591370393
NT,natural,unknown,monitor,monitor,False,111.7835809783521,0,False,0.3210550492234518
NT,natural,unknown,moderate,moderate,False,123.53099132914156,0,False,0.1499784661595094
NT,natural,unknown,other,other,False,110.84791094973292,0,False,1.5320843921725125
NT,natural,unknown,other,other,False,132.47238462750337,0,False,-0.2328964825260332
NT,natural,unknown,other,other,False,122.8225637673758,0,False,-0.7607675943455937
NT,natural,unknown,other,other,False,104.12593520119428,0,False,-0.6704810478107414
NT,natural,unknown,monitor,monitor,False,97.99677427651288,0,False,-0.0129005512005654
